phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseA,RandomGrayscale,0.5,0.3421,42,0,36.3,2.574876,65.7,44.4111,2.148437,40,38,False,40.51,2025-12-27T04:46:17,,35.9667
PhaseA,RandomGrayscale,0.5,0.5554,42,0,35.8,2.594754,66.5,45.3556,2.121233,40,40,False,41.28,2025-12-27T04:46:58,,34.9
PhaseA,RandomGrayscale,0.5,0.3193,42,0,36.8,2.511099,67.5,47.8333,2.015998,40,40,False,40.73,2025-12-27T04:47:39,,36.6
PhaseA,RandomGrayscale,0.5,0.4263,42,0,35.7,2.549312,66.5,46.0889,2.109324,40,40,False,40.62,2025-12-27T04:48:20,,34.8
PhaseA,RandomGrayscale,0.5,0.1492,42,0,38.5,2.457407,68.8,50.3444,1.908959,40,39,False,39.69,2025-12-27T04:49:00,,38.0667
PhaseA,RandomGrayscale,0.5,0.6307,42,0,34.1,2.636819,64.9,43.5556,2.194322,40,39,False,41.29,2025-12-27T04:49:41,,33.2667
PhaseA,RandomGrayscale,0.5,0.3945,42,0,36.5,2.564689,66.5,45.2778,2.130032,40,39,False,41.29,2025-12-27T04:50:22,,35.9667
PhaseA,RandomGrayscale,0.5,0.501,42,0,37.4,2.542992,67.0,44.5111,2.149029,40,39,False,40.77,2025-12-27T04:51:03,,36.5667
PhaseA,RandomGrayscale,0.5,0.2239,42,0,37.7,2.507905,67.2,50.0333,1.940192,40,40,False,40.05,2025-12-27T04:51:43,,37.1333
PhaseA,RandomGrayscale,0.5,0.4418,42,0,37.2,2.575954,66.1,46.1111,2.105195,40,40,False,40.63,2025-12-27T04:52:24,,35.6667
PhaseA,RandomGrayscale,0.5,0.133,42,0,37.5,2.488393,66.6,51.7667,1.869363,40,40,False,39.86,2025-12-27T04:53:04,,36.9333
PhaseA,RandomGrayscale,0.5,0.6077,42,0,35.0,2.604333,65.9,45.5556,2.123194,40,40,False,41.27,2025-12-27T04:53:45,,34.3333
PhaseA,RandomGrayscale,0.5,0.2673,42,0,37.4,2.476252,68.5,48.4667,1.990191,40,40,False,40.52,2025-12-27T04:54:26,,37.2
PhaseA,GaussianBlur,0.2155,0.6072,42,0,36.3,2.549977,65.9,58.3667,1.597698,40,40,False,55.99,2025-12-27T04:55:22,,35.8
